# SAVED: date 08/18/2021 time 10:28:32
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*01000001
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
32440.9032,221.5179,-143.477739057271,15,-,13967.5712585449,-,-,-,-,-,1934.13889408112
32670.1633,229.2601,-142.104484652787,15,-,14048.5525131226,-,-,-,-,-,1925.39858818054
32891.3355,221.1722,-140.771225141952,15,-,14108.9305877686,-,-,-,-,-,1928.04217338562
33110.5455,219.21,-139.456232506225,15,-,14187.5553131104,-,-,-,-,-,1930.35221099854
33332.7593,222.2138,-138.127133613341,15,-,14257.2507858276,-,-,-,-,-,1931.40017986298
33560.9779,228.2186,-136.786354730969,15,-,14349.7943878174,-,-,-,-,-,1932.73389339447
33783.1912,222.2133,-135.42321873512,15,-,14433.1016540527,-,-,-,-,-,1932.2098493576
34011.4107,228.2195,-134.079397925033,15,-,14509.2267990112,-,-,-,-,-,1933.71021747589
34231.6217,220.211,-132.729202740226,15,-,14582.9162597656,-,-,-,-,-,1933.75778198242
34450.0842,218.4625,-131.419691069176,15,-,14653.265953064,-,-,-,-,-,1933.21013450623
34671.2957,221.2115,-130.084334906312,15,-,14732.6755523682,-,-,-,-,-,1930.11403083801
34891.5075,220.2118,-128.770350901206,15,-,14826.5323638916,-,-,-,-,-,1931.16199970245
35111.7189,220.2114,-127.453445943847,15,-,14883.4314346313,-,-,-,-,-,1932.5909614563
35330.9293,219.2104,-126.129642425722,15,-,14987.6251220703,-,-,-,-,-,1930.56654930115
35551.1411,220.2118,-124.812655538053,15,-,15072.9484558105,-,-,-,-,-,1936.71107292175
35771.3525,220.2114,-123.497739067511,15,-,15127.7618408203,-,-,-,-,-,1930.63795566559
35990.5625,219.21,-122.175437625547,15,-,15217.3347473145,-,-,-,-,-,1926.51796340942
36210.7735,220.211,-120.84470738663,15,-,15303.6890029907,-,-,-,-,-,1926.92267894745
36433.9877,223.2142,-119.51044561446,15,-,15378.1595230103,-,-,-,-,-,1922.30260372162
36653.7989,219.8112,-118.185352500354,15,-,15475.3904342651,-,-,-,-,-,1926.49412155151
36882.4212,228.6223,-116.856143527376,15,-,15572.0052719116,-,-,-,-,-,1935.02008914948
37103.4501,221.0289,-115.49561297887,15,-,15664.1035079956,-,-,-,-,-,1927.51812934875
37332.6697,229.2196,-114.14816848569,15,-,15748.4912872314,-,-,-,-,-,1932.5909614563
37551.8319,219.1622,-112.807868344208,15,-,15801.9371032715,-,-,-,-,-,1927.28006839752
37773.0447,221.2128,-111.474287542859,15,-,15902.9226303101,-,-,-,-,-,1927.58965492249
37992.2158,219.1711,-110.167913789366,15,-,16008.3332061768,-,-,-,-,-,1937.21103668213
