# SAVED: date 07/30/2021 time 16:47:34
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
13135.223,249.6004,-187.284280667848,15,11454.2942047119,8277.03952789307,-,-,-,-,-,-
13384.8235,249.6005,-185.7833629842,15,11546.4487075806,8301.0721206665,-,-,-,-,-,-
13634.4239,249.6004,-184.277972213512,15,11645.5011367798,8282.32574462891,-,-,-,-,-,-
13884.0243,249.6004,-182.790377939755,15,11711.5993499756,8282.94849395752,-,-,-,-,-,-
14133.6248,249.6005,-181.290678714731,15,11811.6178512573,8292.25158691406,-,-,-,-,-,-
14383.2252,249.6004,-179.796889897161,15,11906.0535430908,8309.46636199951,-,-,-,-,-,-
14632.8257,249.6005,-178.296381779436,15,12001.2989044189,8315.7844543457,-,-,-,-,-,-
14882.4261,249.6004,-176.802379219649,15,12092.1401977539,8302.39582061768,-,-,-,-,-,-
15132.0265,249.6004,-175.302109162118,15,12179.5682907104,8323.51398468018,-,-,-,-,-,-
15381.627,249.6005,-173.802651836967,15,12258.4075927734,8290.65990447998,-,-,-,-,-,-
15631.2274,249.6004,-172.30860192112,15,12333.758354187,8289.94846343994,-,-,-,-,-,-
15880.8278,249.6004,-170.802646717393,15,12422.6474761963,8316.11824035645,-,-,-,-,-,-
16130.4283,249.6005,-169.302935973327,15,12507.7524185181,8306.31732940674,-,-,-,-,-,-
16380.0287,249.6004,-167.814810543763,15,12567.063331604,8311.98120117188,-,-,-,-,-,-
16629.6292,249.6005,-166.314924454285,15,12669.1541671753,8282.55939483643,-,-,-,-,-,-
16879.2296,249.6004,-164.820636478245,15,12766.0455703735,8311.09523773193,-,-,-,-,-,-
17128.83,249.6004,-163.302837421527,15,12824.6145248413,8288.76209259033,-,-,-,-,-,-
17378.4305,249.6005,-161.827111318738,15,12902.1768569946,8292.82760620117,-,-,-,-,-,-
17628.0309,249.6004,-160.326417616454,15,12987.7004623413,8284.33132171631,-,-,-,-,-,-
17877.6314,249.6005,-158.8266454375,15,13076.6134262085,8297.91069030762,-,-,-,-,-,-
18470.4324,592.801,-156.291740181617,15,13142.1604156494,8282.62519836426,-,-,-,-,-,-
18751.2329,280.8005,-153.546756788235,15,13340.5084609985,8288.93566131592,-,-,-,-,-,-
19000.8333,249.6004,-152.089517044982,15,13445.5471038818,8299.2639541626,-,-,-,-,-,-
19250.4338,249.6005,-150.583526004236,15,13515.1119232178,8275.94947814941,-,-,-,-,-,-
19500.0342,249.6004,-149.095573360296,15,13584.7864151001,8287.33730316162,-,-,-,-,-,-
19749.6346,249.6004,-147.60128666415,15,13678.563117981,8303.01856994629,-,-,-,-,-,-
19999.2351,249.6005,-146.095355778399,15,13765.0203704834,8300.25768280029,-,-,-,-,-,-
20248.8355,249.6004,-144.607065242572,15,13848.9980697632,8297.23453521729,-,-,-,-,-,-
20498.436,249.6005,-143.107143316076,15,13929.8610687256,8292.68360137939,-,-,-,-,-,-
20748.0364,249.6004,-141.607302022872,15,13994.5516586304,8289.07299041748,-,-,-,-,-,-
20997.6368,249.6004,-140.107568240722,15,14096.0264205933,8305.26256561279,-,-,-,-,-,-
