# Exported: 9/4/2021 11:12:00 PM
# Scan Set: Tran_J07_20210818_Pro
# Scan Orientation: Transverse
# Scan: d = 15 mm
# Processed Data

Position,Value
-124.802985729,0.6480
-123.480684287036,0.6518
-122.149954048119,0.6555
-120.815692275949,0.6587
-119.490599161843,0.6629
-118.161390188865,0.6670
-116.800859640359,0.6710
-115.453415147179,0.6746
-114.113115005697,0.6769
-112.779534204348,0.6812
-111.473160450855,0.6857
-110.133971964721,0.6893
-108.808620280154,0.6931
-107.500897405511,0.6960
-106.179964284715,0.7006
-104.863770362843,0.7029
-103.539902844662,0.7076
-102.202850035231,0.7118
-100.848251626187,0.7157
-99.5118855629412,0.7203
-98.1912097223645,0.7245
-96.8600801231072,0.7287
-95.5454247625479,0.7324
-94.226743163673,0.7358
-92.9028551654752,0.7400
-91.5646381899301,0.7449
-90.2214657157562,0.7489
-88.8832308406758,0.7542
-87.5668743689049,0.7577
-86.2558433263184,0.7616
-84.9303662016446,0.7658
-83.6184602834316,0.7696
-82.2702228346956,0.7743
-80.9563822101916,0.7804
-79.6408365935127,0.7851
-78.3248046071388,0.7884
-77.0002247529906,0.7938
-75.6642414100715,0.7978
-74.3640340464812,0.8008
-72.9402733896188,0.8075
-71.5930708371259,0.8121
-70.2457236342696,0.8171
-68.8868961220969,0.8203
-67.5693588441984,0.8256
-66.2542516432536,0.8298
-64.929818999471,0.8346
-63.6112417258051,0.8392
-62.2881390031574,0.8431
-60.9690234839122,0.8475
-59.6500116447554,0.8522
-58.3247994803077,0.8576
-57.0109466804333,0.8620
-55.6566727465462,0.8673
-54.3052577206987,0.8707
-52.9391751520949,0.8765
-51.5987092351107,0.8808
-50.2753255675833,0.8853
-48.9538714761025,0.8894
-47.6328826906187,0.8941
-46.3163572382237,0.8986
-44.9923822101916,0.9035
-43.6724730800292,0.9081
-42.3375866673261,0.9127
-40.9849761306984,0.9180
-39.6549242821209,0.9224
-38.3337070010821,0.9256
-37.0217505279459,0.9292
-35.6954817277166,0.9342
-34.3717236445097,0.9389
-33.0485505218019,0.9428
-31.7255175643338,0.9468
-30.4097505279459,0.9505
-29.0897645977179,0.9541
-27.7039380429859,0.9578
-26.3953025275636,0.9616
-25.0608007705488,0.9646
-23.7502586781396,0.9678
-22.42486860378,0.9713
-21.098431478287,0.9742
-19.767624449545,0.9779
-18.4696942078979,0.9812
-17.1461325997386,0.9832
-15.8237703628429,0.9850
-14.4962887666986,0.9875
-13.1796410793192,0.9888
-11.8562849164553,0.9910
-10.4876244358917,0.9927
-9.15948556430651,0.9953
-7.8429370821318,0.9949
-6.51368843935963,0.9972
-5.1889268455364,0.9970
-3.84723402190519,0.9981
-2.48508556225851,0.9975
-1.1735950095199,0.9988
0.146974271819224,0.9986
1.45933011553621,1.0000
2.80892309566888,0.9991
4.15676500358731,0.9970
5.48434386957461,0.9959
6.80856595829746,0.9946
8.12561811578197,0.9930
9.44077843165209,0.9908
10.7704245198834,0.9901
12.0971240353604,0.9884
13.4195509174313,0.9857
14.7335144322802,0.9838
16.0540091578223,0.9805
17.3741403528143,0.9779
18.7017896393417,0.9737
20.0081409979348,0.9702
21.3336987524375,0.9682
22.6537006775591,0.9638
23.9864296433011,0.9610
25.3043726713059,0.9574
26.6212309239849,0.9537
27.956416191343,0.9502
29.2590158769747,0.9461
30.5834190807321,0.9434
31.9079035491989,0.9381
33.2232462805847,0.9349
34.5429928301284,0.9302
35.8676801941283,0.9256
37.1881877196814,0.9213
38.5109057968808,0.9164
39.8475944306418,0.9133
41.1547233950185,0.9083
42.4993422909066,0.9030
43.8524014730371,0.8985
45.1799336343446,0.8942
46.5036251574947,0.8894
47.8170235569813,0.8844
49.1351464302595,0.8804
50.4580866030084,0.8760
51.7955406774226,0.8726
53.1133761955755,0.8668
54.4244680330939,0.8619
55.7391150787661,0.8578
57.0933378126095,0.8522
58.4511150787661,0.8470
59.769019716978,0.8430
61.0839707475496,0.8383
62.4016897958431,0.8335
63.7220187561239,0.8292
65.0458011593515,0.8249
66.3759822777994,0.8196
67.6914440390468,0.8150
69.0133697955701,0.8105
70.3399106011516,0.8058
71.6803918883889,0.8016
73.0330049952588,0.7966
74.3624155530491,0.7914
75.6756379575056,0.7872
77.0060027612302,0.7827
78.3189147500618,0.7786
79.6448961951659,0.7742
80.953591235759,0.7689
82.2759957126909,0.7651
83.5982913997698,0.7619
