# Saved: 07-Mar-2013 10:24:59
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
0,0,-145,15,0.48966,1,-,-,-,-,-,-,
0,0,-144,15,0.49134,1,-,-,-,-,-,-,
0,0,-143,15,0.49291,1,-,-,-,-,-,-,
0,0,-142,15,0.4952,1,-,-,-,-,-,-,
0,0,-141,15,0.49725,1,-,-,-,-,-,-,
0,0,-140,15,0.49955,1,-,-,-,-,-,-,
0,0,-139,15,0.50161,1,-,-,-,-,-,-,
0,0,-138,15,0.50335,1,-,-,-,-,-,-,
0,0,-137,15,0.50511,1,-,-,-,-,-,-,
0,0,-136,15,0.50716,1,-,-,-,-,-,-,
0,0,-135,15,0.50923,1,-,-,-,-,-,-,
0,0,-134,15,0.51096,1,-,-,-,-,-,-,
0,0,-133,15,0.513,1,-,-,-,-,-,-,
0,0,-132,15,0.51552,1,-,-,-,-,-,-,
0,0,-131,15,0.51791,1,-,-,-,-,-,-,
0,0,-130,15,0.51962,1,-,-,-,-,-,-,
0,0,-129,15,0.52179,1,-,-,-,-,-,-,
0,0,-128,15,0.52399,1,-,-,-,-,-,-,
0,0,-127,15,0.52597,1,-,-,-,-,-,-,
0,0,-126,15,0.52883,1,-,-,-,-,-,-,
0,0,-125,15,0.52987,1,-,-,-,-,-,-,
0,0,-124,15,0.53124,1,-,-,-,-,-,-,
0,0,-123,15,0.5344,1,-,-,-,-,-,-,
0,0,-122,15,0.5374,1,-,-,-,-,-,-,
0,0,-121,15,0.53947,1,-,-,-,-,-,-,
0,0,-120,15,0.54066,1,-,-,-,-,-,-,
0,0,-119,15,0.54293,1,-,-,-,-,-,-,
0,0,-118,15,0.54572,1,-,-,-,-,-,-,
0,0,-117,15,0.54795,1,-,-,-,-,-,-,
0,0,-116,15,0.54971,1,-,-,-,-,-,-,
0,0,-115,15,0.55168,1,-,-,-,-,-,-,
0,0,-114,15,0.55385,1,-,-,-,-,-,-,
0,0,-113,15,0.55589,1,-,-,-,-,-,-,
0,0,-112,15,0.55799,1,-,-,-,-,-,-,
0,0,-111,15,0.55988,1,-,-,-,-,-,-,
0,0,-110,15,0.56286,1,-,-,-,-,-,-,
0,0,-109,15,0.5652,1,-,-,-,-,-,-,
0,0,-108,15,0.56804,1,-,-,-,-,-,-,
0,0,-107,15,0.56955,1,-,-,-,-,-,-,
0,0,-106,15,0.57149,1,-,-,-,-,-,-,
0,0,-105,15,0.57457,1,-,-,-,-,-,-,
0,0,-104,15,0.57733,1,-,-,-,-,-,-,
0,0,-103,15,0.58009,1,-,-,-,-,-,-,
0,0,-102,15,0.58213,1,-,-,-,-,-,-,
0,0,-101,15,0.58442,1,-,-,-,-,-,-,
0,0,-100,15,0.58678,1,-,-,-,-,-,-,
0,0,-99,15,0.58885,1,-,-,-,-,-,-,
0,0,-98,15,0.59188,1,-,-,-,-,-,-,
0,0,-97,15,0.59454,1,-,-,-,-,-,-,
0,0,-96,15,0.59689,1,-,-,-,-,-,-,
0,0,-95,15,0.59945,1,-,-,-,-,-,-,
0,0,-94,15,0.60139,1,-,-,-,-,-,-,
0,0,-93,15,0.60349,1,-,-,-,-,-,-,
0,0,-92,15,0.60631,1,-,-,-,-,-,-,
0,0,-91,15,0.60974,1,-,-,-,-,-,-,
0,0,-90,15,0.61286,1,-,-,-,-,-,-,
0,0,-89,15,0.61475,1,-,-,-,-,-,-,
0,0,-88,15,0.61628,1,-,-,-,-,-,-,
0,0,-87,15,0.6193,1,-,-,-,-,-,-,
0,0,-86,15,0.62249,1,-,-,-,-,-,-,
0,0,-85,15,0.62484,1,-,-,-,-,-,-,
0,0,-84,15,0.62725,1,-,-,-,-,-,-,
0,0,-83,15,0.62877,1,-,-,-,-,-,-,
0,0,-82,15,0.632,1,-,-,-,-,-,-,
0,0,-81,15,0.63491,1,-,-,-,-,-,-,
0,0,-80,15,0.63765,1,-,-,-,-,-,-,
0,0,-79,15,0.64008,1,-,-,-,-,-,-,
0,0,-78,15,0.643,1,-,-,-,-,-,-,
0,0,-77,15,0.6455,1,-,-,-,-,-,-,
0,0,-76,15,0.6479,1,-,-,-,-,-,-,
0,0,-75,15,0.65029,1,-,-,-,-,-,-,
0,0,-74,15,0.65332,1,-,-,-,-,-,-,
0,0,-73,15,0.65517,1,-,-,-,-,-,-,
0,0,-72,15,0.65819,1,-,-,-,-,-,-,
0,0,-71,15,0.66128,1,-,-,-,-,-,-,
0,0,-70,15,0.66479,1,-,-,-,-,-,-,
0,0,-69,15,0.66774,1,-,-,-,-,-,-,
0,0,-68,15,0.67007,1,-,-,-,-,-,-,
0,0,-67,15,0.67258,1,-,-,-,-,-,-,
0,0,-66,15,0.67478,1,-,-,-,-,-,-,
0,0,-65,15,0.67703,1,-,-,-,-,-,-,
0,0,-64,15,0.6794,1,-,-,-,-,-,-,
0,0,-63,15,0.68321,1,-,-,-,-,-,-,
0,0,-62,15,0.68683,1,-,-,-,-,-,-,
0,0,-61,15,0.68924,1,-,-,-,-,-,-,
0,0,-60,15,0.69168,1,-,-,-,-,-,-,
0,0,-59,15,0.6949,1,-,-,-,-,-,-,
0,0,-58,15,0.69665,1,-,-,-,-,-,-,
0,0,-57,15,0.69983,1,-,-,-,-,-,-,
0,0,-56,15,0.70133,1,-,-,-,-,-,-,
0,0,-55,15,0.70384,1,-,-,-,-,-,-,
0,0,-54,15,0.70711,1,-,-,-,-,-,-,
0,0,-53,15,0.71066,1,-,-,-,-,-,-,
0,0,-52,15,0.71368,1,-,-,-,-,-,-,
0,0,-51,15,0.71739,1,-,-,-,-,-,-,
0,0,-50,15,0.71924,1,-,-,-,-,-,-,
0,0,-49,15,0.72113,1,-,-,-,-,-,-,
0,0,-48,15,0.72379,1,-,-,-,-,-,-,
0,0,-47,15,0.72653,1,-,-,-,-,-,-,
0,0,-46,15,0.7292,1,-,-,-,-,-,-,
0,0,-45,15,0.73309,1,-,-,-,-,-,-,
0,0,-44,15,0.73617,1,-,-,-,-,-,-,
0,0,-43,15,0.73833,1,-,-,-,-,-,-,
0,0,-42,15,0.74094,1,-,-,-,-,-,-,
0,0,-41,15,0.74286,1,-,-,-,-,-,-,
0,0,-40,15,0.74515,1,-,-,-,-,-,-,
0,0,-39,15,0.74765,1,-,-,-,-,-,-,
0,0,-38,15,0.75019,1,-,-,-,-,-,-,
0,0,-37,15,0.75283,1,-,-,-,-,-,-,
0,0,-36,15,0.75526,1,-,-,-,-,-,-,
0,0,-35,15,0.75724,1,-,-,-,-,-,-,
0,0,-34,15,0.75877,1,-,-,-,-,-,-,
0,0,-33,15,0.76213,1,-,-,-,-,-,-,
0,0,-32,15,0.7655,1,-,-,-,-,-,-,
0,0,-31,15,0.76617,1,-,-,-,-,-,-,
0,0,-30,15,0.76909,1,-,-,-,-,-,-,
0,0,-29,15,0.77112,1,-,-,-,-,-,-,
0,0,-28,15,0.77431,1,-,-,-,-,-,-,
0,0,-27,15,0.77611,1,-,-,-,-,-,-,
0,0,-26,15,0.77816,1,-,-,-,-,-,-,
0,0,-25,15,0.77946,1,-,-,-,-,-,-,
0,0,-24,15,0.7813,1,-,-,-,-,-,-,
0,0,-23,15,0.78343,1,-,-,-,-,-,-,
0,0,-22,15,0.78509,1,-,-,-,-,-,-,
0,0,-21,15,0.78669,1,-,-,-,-,-,-,
0,0,-20,15,0.78798,1,-,-,-,-,-,-,
0,0,-19,15,0.79059,1,-,-,-,-,-,-,
0,0,-18,15,0.79345,1,-,-,-,-,-,-,
0,0,-17,15,0.79464,1,-,-,-,-,-,-,
0,0,-16,15,0.79556,1,-,-,-,-,-,-,
0,0,-15,15,0.79638,1,-,-,-,-,-,-,
0,0,-14,15,0.79762,1,-,-,-,-,-,-,
0,0,-13,15,0.79843,1,-,-,-,-,-,-,
0,0,-12,15,0.79872,1,-,-,-,-,-,-,
0,0,-11,15,0.79966,1,-,-,-,-,-,-,
0,0,-10,15,0.80057,1,-,-,-,-,-,-,
0,0,-9,15,0.8023,1,-,-,-,-,-,-,
0,0,-8,15,0.80339,1,-,-,-,-,-,-,
0,0,-7,15,0.80471,1,-,-,-,-,-,-,
0,0,-6,15,0.8041,1,-,-,-,-,-,-,
0,0,-5,15,0.80448,1,-,-,-,-,-,-,
0,0,-4,15,0.80468,1,-,-,-,-,-,-,
0,0,-3,15,0.80576,1,-,-,-,-,-,-,
0,0,-2,15,0.80528,1,-,-,-,-,-,-,
0,0,-1,15,0.80563,1,-,-,-,-,-,-,
0,0,0,15,0.80603,1,-,-,-,-,-,-,
0,0,1,15,0.8061,1,-,-,-,-,-,-,
0,0,2,15,0.80651,1,-,-,-,-,-,-,
0,0,3,15,0.8058,1,-,-,-,-,-,-,
0,0,4,15,0.80521,1,-,-,-,-,-,-,
0,0,5,15,0.80416,1,-,-,-,-,-,-,
0,0,6,15,0.80265,1,-,-,-,-,-,-,
0,0,7,15,0.80252,1,-,-,-,-,-,-,
0,0,8,15,0.80174,1,-,-,-,-,-,-,
0,0,9,15,0.80088,1,-,-,-,-,-,-,
0,0,10,15,0.7996,1,-,-,-,-,-,-,
0,0,11,15,0.79804,1,-,-,-,-,-,-,
0,0,12,15,0.79731,1,-,-,-,-,-,-,
0,0,13,15,0.7966,1,-,-,-,-,-,-,
0,0,14,15,0.7951,1,-,-,-,-,-,-,
0,0,15,15,0.7945,1,-,-,-,-,-,-,
0,0,16,15,0.79194,1,-,-,-,-,-,-,
0,0,17,15,0.79021,1,-,-,-,-,-,-,
0,0,18,15,0.78958,1,-,-,-,-,-,-,
0,0,19,15,0.78844,1,-,-,-,-,-,-,
0,0,20,15,0.78602,1,-,-,-,-,-,-,
0,0,21,15,0.78333,1,-,-,-,-,-,-,
0,0,22,15,0.78098,1,-,-,-,-,-,-,
0,0,23,15,0.7794,1,-,-,-,-,-,-,
0,0,24,15,0.7768,1,-,-,-,-,-,-,
0,0,25,15,0.77647,1,-,-,-,-,-,-,
0,0,26,15,0.77373,1,-,-,-,-,-,-,
0,0,27,15,0.77098,1,-,-,-,-,-,-,
0,0,28,15,0.76858,1,-,-,-,-,-,-,
0,0,29,15,0.76617,1,-,-,-,-,-,-,
0,0,30,15,0.76393,1,-,-,-,-,-,-,
0,0,31,15,0.76217,1,-,-,-,-,-,-,
0,0,32,15,0.75999,1,-,-,-,-,-,-,
0,0,33,15,0.75666,1,-,-,-,-,-,-,
0,0,34,15,0.7548,1,-,-,-,-,-,-,
0,0,35,15,0.75167,1,-,-,-,-,-,-,
0,0,36,15,0.74886,1,-,-,-,-,-,-,
0,0,37,15,0.74749,1,-,-,-,-,-,-,
0,0,38,15,0.74578,1,-,-,-,-,-,-,
0,0,39,15,0.74346,1,-,-,-,-,-,-,
0,0,40,15,0.74015,1,-,-,-,-,-,-,
0,0,41,15,0.73748,1,-,-,-,-,-,-,
0,0,42,15,0.73553,1,-,-,-,-,-,-,
0,0,43,15,0.73245,1,-,-,-,-,-,-,
0,0,44,15,0.72988,1,-,-,-,-,-,-,
0,0,45,15,0.72683,1,-,-,-,-,-,-,
0,0,46,15,0.72402,1,-,-,-,-,-,-,
0,0,47,15,0.7219,1,-,-,-,-,-,-,
0,0,48,15,0.71895,1,-,-,-,-,-,-,
0,0,49,15,0.71625,1,-,-,-,-,-,-,
0,0,50,15,0.71359,1,-,-,-,-,-,-,
0,0,51,15,0.71069,1,-,-,-,-,-,-,
0,0,52,15,0.70772,1,-,-,-,-,-,-,
0,0,53,15,0.70478,1,-,-,-,-,-,-,
0,0,54,15,0.70215,1,-,-,-,-,-,-,
0,0,55,15,0.6996,1,-,-,-,-,-,-,
0,0,56,15,0.69715,1,-,-,-,-,-,-,
