# SAVED: date 06/21/2017 time 12:24:28
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
0.000000,0.000000,-250.000000,15.000000,0.105870,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-249.000000,15.000000,0.110540,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-248.000000,15.000000,0.114350,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-247.000000,15.000000,0.118720,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-246.000000,15.000000,0.122990,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-245.000000,15.000000,0.125530,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-244.000000,15.000000,0.129310,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-243.000000,15.000000,0.132580,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-242.000000,15.000000,0.137980,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-241.000000,15.000000,0.145150,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-240.000000,15.000000,0.152310,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-239.000000,15.000000,0.157600,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-238.000000,15.000000,0.164300,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-237.000000,15.000000,0.169250,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-236.000000,15.000000,0.174500,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-235.000000,15.000000,0.181640,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-234.000000,15.000000,0.189700,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-233.000000,15.000000,0.196790,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-232.000000,15.000000,0.204480,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-231.000000,15.000000,0.211970,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-230.000000,15.000000,0.221690,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-229.000000,15.000000,0.231400,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-228.000000,15.000000,0.241150,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-227.000000,15.000000,0.253250,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-226.000000,15.000000,0.264040,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-225.000000,15.000000,0.275880,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-224.000000,15.000000,0.288660,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-223.000000,15.000000,0.303030,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-222.000000,15.000000,0.320200,100.000000,-,-,-,-,-,-,
0.000000,0.000000,-221.000000,15.000000,0.336440,100.000000,-,-,-,-,-,-,
