# Exported: 11/2/2021 3:50:38 PM
# Scan Set: J42
# Scan Orientation: Transverse
# Scan: d = 15 mm
# Processed Data

Position,Value
-147.003375281941,0.5989
-145.515084746114,0.6025
-144.015162819618,0.6060
-142.515321526414,0.6089
-141.015587744264,0.6133
-139.449569556978,0.6167
-137.678718696569,0.6214
-136.143568545862,0.6249
-134.655441836404,0.6288
-133.155246012696,0.6323
-131.661286969289,0.6361
-130.161074506966,0.6402
-128.655635100324,0.6438
-127.16750967076,0.6472
-125.667069387392,0.6508
-124.173623581283,0.6557
-122.65930811313,0.6598
-121.09536760258,0.6638
-119.583590304051,0.6675
-118.089347124284,0.6715
-116.566218309401,0.6755
-115.058526712542,0.6797
-113.594924759425,0.6847
-112.08891580017,0.6884
-110.593514316774,0.6924
-109.08258430775,0.6973
-107.594242576182,0.7010
-106.10748791257,0.7049
-104.607198656636,0.7098
-103.107375281941,0.7140
-101.613430317362,0.7193
-100.119334325349,0.7233
-98.6187238161432,0.7269
-97.119601823093,0.7319
-95.6191589799376,0.7364
-94.1253829613023,0.7410
-92.6305971066854,0.7453
-91.1311807381273,0.7514
-89.6310425096279,0.7551
-88.1369567567625,0.7600
-86.6372280941873,0.7661
-85.1431039445165,0.7704
-83.6435250294822,0.7749
-82.1432408931224,0.7783
-80.6434111189596,0.7840
-79.1431410614284,0.7852
-77.6551679391921,0.7913
-76.1552805698213,0.7977
-74.6612805698213,0.8036
-73.0394310085048,0.8083
-71.2768415663464,0.8140
-69.7892588116316,0.8198
-68.2952280941873,0.8240
-66.7951231429192,0.8302
-65.2954482358715,0.8347
-63.80105786835,0.8403
-62.3014341570428,0.8438
-60.8070258710122,0.8494
-59.3075941437319,0.8552
-57.8133612031126,0.8607
-56.3128543652815,0.8659
-54.8068287674112,0.8700
-53.3195711056487,0.8762
-51.8181248259792,0.8808
-50.3069721154847,0.8859
-48.8241965000159,0.8914
-47.3254341570428,0.8955
-45.8315275892693,0.8996
-44.3313612031126,0.9063
-42.8377234129767,0.9106
-41.3371935370624,0.9158
-39.8309516371885,0.9215
-38.3432728904602,0.9251
-36.8432882491824,0.9290
-35.3495864643709,0.9350
-33.8493535237515,0.9394
-32.3433228063072,0.9441
-30.8550770667527,0.9478
-29.3553599232191,0.9516
-27.8556120622411,0.9562
-26.3551743386597,0.9601
-24.8614187983207,0.9640
-23.3675288691628,0.9690
-21.8550565884565,0.9713
-20.3674610348066,0.9744
-18.8672191349327,0.9789
-17.379055308563,0.9813
-15.8795199099082,0.9836
-14.3795583067136,0.9865
-12.879249852377,0.9885
-11.3851141836646,0.9910
-9.89114106142839,0.9925
-8.39137400204773,0.9940
-6.89168629606487,0.9954
-5.39107578685924,0.9983
-3.89722681429376,0.9983
-2.39700155303549,0.9992
-0.903007952503054,0.9997
0.597442166847012,0.9998
2.09587429729376,1.0000
3.5897488677295,0.9974
5.08374246826194,0.9973
6.5848034999841,0.9955
8.08353512551285,0.9939
9.58362215827169,0.9927
11.0778883761224,0.9922
12.9297069256191,0.9900
15.1759856480294,0.9850
16.6996541556096,0.9822
18.1878704576132,0.9797
19.687597840295,0.9766
21.1997283894333,0.9748
22.6880905992974,0.9717
24.1845223969719,0.9673
25.6876631148641,0.9633
27.1755645630637,0.9591
28.6756541556096,0.9554
30.1698678978262,0.9511
